method,image,ground_truth,predictions,tp,fp,fn
Classical,frame_000000.jpg,13,7,0,7,13
Classical,frame_000007.jpg,14,6,0,6,14
Classical,frame_000015.jpg,12,7,0,7,12
Classical,frame_000023.jpg,13,9,0,9,13
Classical,frame_000031.jpg,13,7,0,7,13
Classical,frame_000039.jpg,14,10,0,10,14
Classical,frame_000047.jpg,12,10,0,10,12
Classical,frame_000055.jpg,11,7,0,7,11
Classical,frame_000062.jpg,11,5,0,5,11
Classical,frame_000070.jpg,11,7,0,7,11
Classical,frame_000078.jpg,9,6,0,6,9
Classical,frame_000086.jpg,11,9,0,9,11
Classical,frame_000094.jpg,13,7,0,7,13
Classical,frame_000102.jpg,9,6,0,6,9
Classical,frame_000110.jpg,9,4,0,4,9
Classical,frame_000118.jpg,10,4,0,4,10
Classical,frame_000125.jpg,11,3,0,3,11
Classical,frame_000133.jpg,8,4,0,4,8
Classical,frame_000141.jpg,7,8,1,7,6
Classical,frame_000149.jpg,11,5,0,5,11
Classical,frame_000157.jpg,8,3,0,3,8
Classical,frame_000165.jpg,10,4,0,4,10
Classical,frame_000173.jpg,8,6,1,5,7
Classical,frame_000180.jpg,10,6,1,5,9
Classical,frame_000188.jpg,9,7,1,6,8
Classical,frame_000196.jpg,10,6,0,6,10
Classical,frame_000204.jpg,7,6,0,6,7
Classical,frame_000212.jpg,10,6,0,6,10
Classical,frame_000220.jpg,9,6,1,5,8
Classical,frame_000228.jpg,8,5,0,5,8
Classical,frame_000236.jpg,8,7,0,7,8
Classical,frame_000243.jpg,12,8,0,8,12
Classical,frame_000251.jpg,10,10,0,10,10
Classical,frame_000259.jpg,11,8,0,8,11
Classical,frame_000267.jpg,12,8,0,8,12
Classical,frame_000275.jpg,9,10,0,10,9
Classical,frame_000283.jpg,9,12,0,12,9
Classical,frame_000291.jpg,9,11,0,11,9
Classical,frame_000299.jpg,8,10,0,10,8
Classical,frame_000306.jpg,8,9,0,9,8
Classical,frame_000314.jpg,6,8,0,8,6
